date;close;high;low;open
9/1/2007;15700.0;16286.0;15700.0;15979.0
10/1/2007;15798.0;15861.0;15706.0;15803.0
11/1/2007;16037.0;16060.0;15691.0;15797.0
12/1/2007;15870.0;16042.0;15666.0;15856.0
1/1/2008;15720.0;15990.0;15572.0;15868.0
2/1/2008;15673.0;15960.0;15585.0;15707.0
3/1/2008;15914.0;16015.0;15336.0;15636.0
4/1/2008;15868.0;16120.0;15750.0;16105.0
5/1/2008;15942.0;16125.0;15765.0;16120.0
6/1/2008;16355.0;16608.0;15805.0;15938.0
7/1/2008;16525.0;16855.0;16300.0;16845.0
8/1/2008;16271.0;16584.0;16055.0;16558.0
9/1/2008;16577.0;16693.0;16050.0;16291.0
10/1/2008;16617.0;16915.0;16081.0;16587.0
11/1/2008;16773.0;16946.0;16301.0;16577.0
12/1/2008;17204.0;17258.0;16297.0;16734.0
1/1/2009;17193.0;17563.0;16750.0;17211.0
2/1/2009;17161.0;17326.0;16755.0;17131.0
3/1/2009;17454.0;17588.0;16634.0;17183.0
4/1/2009;17487.0;17770.0;16800.0;17633.0
5/1/2009;17456.0;17551.0;16850.0;17505.0
6/1/2009;16850.0;17744.0;16845.0;16855.0
7/1/2009;16865.0;17678.0;16845.0;16855.0
8/1/2009;17725.0;17764.0;16850.0;17525.0
9/1/2009;17720.0;17805.0;17448.0;17467.0
10/1/2009;17676.0;17840.0;17480.0;17569.0
11/1/2009;18227.0;19527.0;17441.0;17593.0
12/1/2009;18400.0;18800.0;17800.0;18122.0
1/1/2010;18314.0;18425.0;18101.0;18336.0
2/1/2010;18678.0;18800.0;18167.0;18188.0
3/1/2010;19055.0;19055.0;18425.0;18741.0
4/1/2010;18875.0;19050.0;189.0;18812.0
5/1/2010;18542.0;18980.0;18299.0;18693.0
6/1/2010;18950.0;18955.0;18531.0;18531.0
7/1/2010;19070.0;19135.0;18458.0;18738.0
8/1/2010;19180.0;19248.0;18672.0;18672.0
9/1/2010;19172.0;19475.0;19159.0;19183.0
10/1/2010;19450.0;19475.0;16465.0;19187.0
11/1/2010;19465.0;19470.0;19047.0;19222.0
12/1/2010;19460.0;19465.0;19135.0;19198.0
1/1/2011;19465.0;19470.0;19049.0;19197.0
2/1/2011;19465.0;20616.0;19136.0;19201.0
3/1/2011;20880.0;20885.0;19460.0;20593.0
4/1/2011;20432.0;20901.0;20.885.000.228.881.800;20665.0
5/1/2011;20270.0;20706.0;20207.0;20374.0
6/1/2011;20250.0;20675.0;20071.0;20475.0
7/1/2011;20115.0;20567.0;20113.0;20235.0
8/1/2011;20800.0;20800.0;20053.0;20333.0
9/1/2011;20815.0;20907.0;20464.0;20559.0
